Chicken Caesar Salad;ciabatta loaf;0.5;
Chicken Caesar Salad;olive oil;1.5;tablespoon
Chicken Caesar Salad;chicken breast;1;
Chicken Caesar Salad;romaine lettuce;1;
Chicken Caesar Salad;garlic;1;clove
Chicken Caesar Salad;anchovy;1;
Chicken Caesar Salad;parmesan;1;block
Chicken Caesar Salad;mayonnaise;2.5;tablespoon
Chicken Caesar Salad;white wine vinegar;0.5;tablespoon
Double Chocolate Cookies;unsalted butter;2;tablespoon
Double Chocolate Cookies;brown sugar;4;tablespoon
Double Chocolate Cookies;egg;1;yolk
Double Chocolate Cookies;vanilla extract;0.25;teaspoon
Double Chocolate Cookies;cocoa powder;1.5;tablespoon
Double Chocolate Cookies;baking soda;0.125;teaspoon
Double Chocolate Cookies;salt;0.125;teaspoon
Double Chocolate Cookies;all purpose flour;4;tablespoon
Double Chocolate Cookies;chocolate chips;3;tablespoon
Chipotle Grilled Tofu;tofu;1;block
Chipotle Grilled Tofu;cilantro;0.75;cup
Chipotle Grilled Tofu;chipotle peppers in adobo;2;
Chipotle Grilled Tofu;adobo sauce;2;teaspoon
Chipotle Grilled Tofu;garlic;6;clove
Chipotle Grilled Tofu;orange zest;2;teaspoon
Chipotle Grilled Tofu;orange juice;0.3;cup
Chipotle Grilled Tofu;lime juice;2.5;tablespoon
Chipotle Grilled Tofu;olive oil;0.25;cup
Chipotle Grilled Tofu;sugar;1;tablespoon
Chipotle Grilled Tofu;cumin;1;teaspoon
Chipotle Grilled Tofu;salt;1;teaspoon
Chipotle Grilled Tofu;black pepper;1;pinch
Soy Sauce Fried Rice;cooked white rice;3;cup
Soy Sauce Fried Rice;light soy sauce;1;tablespoon
Soy Sauce Fried Rice;dark soy sauce;0.5;tablespoon
Soy Sauce Fried Rice;sesame oil;0.5;teaspoon
Soy Sauce Fried Rice;sugar;0.5;teaspoon
Soy Sauce Fried Rice;white pepper;0.25;teaspoon
Soy Sauce Fried Rice;vegetable oil;1;tablespoon
Soy Sauce Fried Rice;garlic;4;clove
Soy Sauce Fried Rice;scallion;1;stalk
Coconut Mango Passion Fruit Trifle;passion fruit;4;tablespoon
Coconut Mango Passion Fruit Trifle;frozen mango chunks;3;tablespoon
Coconut Mango Passion Fruit Trifle;granulated sugar;0.5;teaspoon
Coconut Mango Passion Fruit Trifle;coconut cream;0.3;cup
Coconut Mango Passion Fruit Trifle;powdered sugar;2;teaspoon
Coconut Mango Passion Fruit Trifle;vanilla extract;0.25;teaspoon
Coconut Mango Passion Fruit Trifle;Biscoff cookie;7;
Coconut Mango Passion Fruit Trifle;vegan butter;2;teaspoon
